time_YYMMDD_HHMMSS,WindSpeedMax,WindDirection,AirTemperature,AirPressure,AirHumidity,WindSpeed
2023-04-20 16:15:00,5.3,312.2349,13.5,1013.6929,68.88571,3.4071429
2023-04-20 16:30:00,5.9,310.1961,13.5,1013.7358,69.62858,4.5000005
2023-04-20 16:45:00,4.8,320.22208,13.399999,1013.70013,69.90714,2.9071429
2023-04-20 17:00:00,5.8,309.3429,13.399999,1013.68585,68.95,3.9999998
2023-04-20 17:15:00,6.0,308.20062,13.313335,1013.6265,69.78665,4.56
2023-04-20 17:30:00,7.4,304.07532,13.300002,1013.7068,67.52666,4.973334
2023-04-20 17:45:00,6.5,293.76385,13.107144,1013.77136,67.100006,3.4428573
2023-04-20 18:00:00,5.6,317.1469,12.957141,1013.9001,67.32143,4.1214285
2023-04-20 18:15:00,6.0,310.7179,12.800002,1013.9357,67.799995,4.1285715
2023-04-20 18:30:00,5.6,320.68878,12.771429,1013.99286,67.649994,2.7285712
2023-04-20 18:45:00,5.1,321.27814,12.600001,1014.1267,68.00667,3.7933335
2023-04-20 19:00:00,3.9,290.169,12.473331,1014.0932,68.53334,2.48
2023-04-20 19:15:00,2.5,298.0681,12.378572,1014.0999,69.17857,1.5928571
2023-04-20 19:30:00,3.0,302.23404,12.300002,1014.2072,70.00714,2.0285714
2023-04-20 19:45:00,3.5,267.92938,12.1,1014.0714,70.49287,1.9499999
2023-04-20 20:00:00,3.6,263.45746,12.1,1014.0,70.014275,1.7785714
2023-04-20 20:15:00,3.0,264.1574,12.1,1013.9715,69.87142,1.3571427
2023-04-20 20:30:00,2.9,261.70258,12.0,1013.89343,70.146675,1.58
2023-04-20 20:45:00,4.3,274.71185,12.033336,1014.0,69.03333,1.9333332
2023-04-20 21:00:00,4.3,289.56738,12.057144,1013.9786,69.37858,2.8857143
2023-04-20 21:15:00,4.6,292.94843,12.0,1013.9001,70.50714,2.1714287
2023-04-20 21:30:00,5.0,270.0324,11.935714,1013.8787,71.59286,1.9642857
2023-04-20 21:45:00,4.1,270.86942,11.757142,1013.88574,73.17857,2.9285715
2023-04-20 22:00:00,4.4,279.43326,11.699998,1013.91437,74.65714,2.4785714
2023-04-20 22:15:00,4.7,287.25623,11.640001,1013.90015,76.826675,3.6133335
2023-04-20 22:30:00,4.6,298.1404,11.399999,1013.90015,76.54,3.52
2023-04-20 22:45:00,3.7,299.64587,11.4,1013.9001,76.62856,2.707143
2023-04-20 23:00:00,4.7,298.28323,11.300002,1013.8858,77.042854,3.5071428
2023-04-20 23:15:00,4.5,293.22153,11.199998,1013.9001,78.15715,2.8642857
2023-04-20 23:30:00,4.6,289.17926,11.1,1013.9001,80.84999,2.585714
2023-04-20 23:45:00,5.5,286.75983,11.0,1013.9215,81.48571,2.2500002
2023-04-21 00:00:00,3.6,279.21674,10.899999,1014.0799,82.82,1.9666666
2023-04-21 00:15:00,3.9,272.41452,10.800002,1014.1934,83.36668,2.4733331
2023-04-21 00:30:00,5.0,265.93497,10.757142,1014.30707,83.7,2.785714
2023-04-21 00:45:00,5.1,263.55646,10.699998,1014.4286,83.86428,2.5142853
2023-04-21 01:00:00,3.7,282.4558,10.699998,1014.36426,82.37858,1.3714286
2023-04-21 01:15:00,3.6,263.95236,10.599999,1014.2928,82.26428,1.7999998
2023-04-21 01:30:00,3.5,290.8717,10.542857,1014.1142,84.02142,2.392857
2023-04-21 01:45:00,3.5,254.03595,10.6,1014.1267,83.38667,2.1533332
2023-04-21 02:00:00,3.5,285.3173,10.54,1014.09985,82.986664,2.1133335
2023-04-21 02:15:00,2.3,288.21167,10.400001,1014.0999,84.05714,1.5071429
2023-04-21 02:30:00,1.9,286.0113,10.400001,1014.1644,84.84286,1.0857142
2023-04-21 02:45:00,1.6,247.42902,10.300001,1014.15704,83.42857,1.1642858
2023-04-21 03:00:00,2.0,273.56815,10.300001,1014.0572,85.19286,1.0571429
2023-04-21 03:15:00,1.5,240.44221,10.199999,1014.2428,84.58571,0.7857142
2023-04-21 03:30:00,1.4,250.5997,10.1,1014.40015,83.65999,0.9266667
2023-04-21 03:45:00,1.5,239.72975,10.1,1014.47345,83.88667,1.1266668
2023-04-21 04:00:00,1.8,241.79224,10.099999,1014.42145,82.957146,1.4357145
2023-04-21 04:15:00,2.0,310.24335,10.199999,1014.6358,82.185715,1.4499999
2023-04-21 04:30:00,2.7,339.84445,10.42143,1014.92145,82.614296,1.8857143
2023-04-21 04:45:00,1.7,314.3572,10.5,1015.1286,82.65,1.3642857
2023-04-21 05:00:00,1.5,263.43414,10.599999,1015.1213,81.814285,0.96428573
2023-04-21 05:15:00,3.1,246.61932,10.46,1015.15326,83.76667,2.1666667
2023-04-21 05:30:00,2.2,242.45975,10.366667,1015.2001,84.939995,1.2399999
2023-04-21 05:45:00,2.5,313.79837,10.414287,1015.4643,84.77142,1.9785713
2023-04-21 06:00:00,2.2,300.72565,10.478571,1015.4643,84.942856,1.557143
2023-04-21 06:15:00,2.8,311.57532,10.621428,1016.11426,82.52857,2.1357143
2023-04-21 06:30:00,5.5,350.0296,11.021428,1016.3716,79.28571,2.4142857
2023-04-21 06:45:00,9.3,345.57602,10.607142,1015.38574,75.185715,5.928571
2023-04-21 07:00:00,8.7,342.32327,10.526667,1015.0068,72.89333,6.2466664
